Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,Column 16
"you_got_arrest_in_minutes","You got arrested. Time in Minutes: ","You got arrested. Time in Minutes: ","Sie wurden verhaftet. Zeit in Minuten: ","你被逮捕了。时间（分钟）：","你被逮捕了。时间（分钟）：","Вас арестовали. Время в минутах: ","Byl jste zatčen. Čas v minutách: ","Zostałeś aresztowany. Czas w minutach: ","Letartóztattak. Időtartam percekben: ","Sei stato arrestato. Tempo in minuti: ","Fuiste arrestado. Tiempo en minutos: ","Vous avez été arrêté. Durée en minutes: ","Você foi preso. Tempo em minutos: ","あなたは逮捕されました。時間（分）：",
"you_set_arrest_to_player_in_minutes","You arrested a player. Duration in Minutes: ","You arrested a player. Duration in Minutes: ","Sie haben einen Spieler verhaftet. Dauer in Minuten: ","您逮捕了一名玩家。持续时间（分钟）：","您逮捕了一名玩家。持续时间（分钟）：","Вы арестовали игрока. Продолжительность в минутах: ","Zatkli jste hráče. Doba trvání v minutách: ","Aresztowano gracza. Czas trwania w minutach: ","Letartóztattak egy játékost. Időtartam percekben: ","Hai arrestato un giocatore. Durata in minuti: ","Arrestaste a un jugador. Duración en minutos: ","Vous avez arrêté un joueur. Durée en minutes: ","Você prendeu um jogador. Duração em minutos: ","あなたはプレイヤーを逮捕しました。時間（分）：",
"Give_Arrest_Menu","Arrest menu","Arrest menu","Verhaftungsmenü","逮捕菜单","逮捕菜單","Меню ареста","Zatčení menu","Aresztuj menu","Letartóztatás menü","Menu arresto","Menú de arresto","Menu d'arrestation","Menu de prisão","逮捕メニュー",
"escapee_player","Escapee player","Escapee player","Flüchtiger Spieler","逃犯玩家","逃犯球员","Побег из игрока","Útěk hráče","Uciekinier gracz","Szökevény játékos","Fuggitivo giocatore","Jugador fugitivo","Joueur évadé","Jogador fugitivo","逃亡者プレーヤー",
"error_arrest_time_must_be_positiv_or_null","Arrest time must be positiv or null.","Arrest time must be positiv or null.","Arrestzeit muss positiv oder null sein.","逮捕时间必须是正数或零。","逮捕時間必須是正數或零。","Время ареста должно быть положительным или нулевым.","Čas zadržení musí být kladný nebo nulový.","Czas zatrzymania musi być dodatni lub równy zeru.","A letartóztatás ideje pozitív vagy nulla kell legyen.","Il tempo di arresto deve essere positivo o nullo.","El tiempo de arresto debe ser positivo o nulo.","L'heure d'arrestation doit être positive ou nulle.","O tempo de prisão deve ser positivo ou nulo.","逮捕時間は正またはゼロでなければなりません。",
"error_arrest_time_is_not_a_int","Arrest time must be an number value.","Arrest time must be an number value.","Arrestzeit muss ein Zahlenwert sein.","逮捕时间必须是一个数字值。","逮捕時間必須是一個數字值。","Время ареста должно быть числовым значением.","Čas zadržení musí být číselnou hodnotou.","Czas zatrzymania musi być wartością liczbową.","A letartóztatás ideje számértéknek kell lennie.","Il tempo di arresto deve essere un valore numerico.","El tiempo de arresto debe ser un valor numérico.","L'heure d'arrestation doit être une valeur numérique.","O tempo de prisão deve ser um valor numérico.","逮捕時間は数値である必要があります。",
"give_arrest","Arrest player","Arrest player","Spieler verhaften","逮捕玩家","逮捕球员","Арестовать игрока","Zatknout hráče","Aresztuj gracza","Játékost letartóztat","Arresta giocatore","Arrestar jugador","Arrêter le joueur","Prender jogador","プレーヤーを逮捕",
"wanted_list","Wanted list","Wanted list","Fahndungsliste","通缉名单","通緝名單","Список разыскиваемых","Hledaný seznam","Lista poszukiwanych","Körözési lista","Lista dei ricercati","Lista de buscados","Liste des recherchés","Lista de procurados","指名手配リスト",
"ArrestTime","Arrest Time","Arrest Time","Verhaftungszeit","逮捕时间","逮捕時間","Время ареста","Čas zadržení","Czas zatrzymania","Letartóztatási idő","Tempo di arresto","Tiempo de arresto","Heure d'arrestation","Tempo de prisão","逮捕時間",
"only_for_cops","Only for cops","Only for cops","Nur für Polizisten","仅限警察","僅限警察","Только для полиции","Pouze pro policisty","Tylko dla policjantów","Csak a rendőröknek","Solo per poliziotti","Solo para policías","Réservé aux policiers","Apenas para policiais","警察専用",
"Player_Name","Name","Name","Name","名称","名稱","Имя","Jméno","Nazwa","Név","Nome","Nombre","Nom","Nome","名前",
"last_log_in_day","Last log in day","Last log in day","Letzter Login Tag","上次登录日期","上次登錄日期","Последний день входа","Poslední den přihlášení","Ostatni dzień logowania","Utolsó bejelentkezés napja","Ultimo giorno di accesso","Último día de inicio de sesión","Dernier jour de connexion","Último dia de login","最終ログイン日",
"Delete_player","Delete player","Delete player","Spieler löschen","删除玩家","刪除玩家","Удалить игрока","Smazat hráče","Usuń gracza","Játékos törlése","Elimina giocatore","Eliminar jugador","Supprimer le joueur","Excluir jogador","プレーヤーを削除",
"admin_Panel","Admin Panel","Admin Panel","Admin Panel","管理员面板","管理員面板","Панель администратора","Administrační panel","Panel administratora","Adminisztrációs panel","Pannello di amministrazione","Panel de administración","Panneau d'administration","Painel de administração","管理パネル",
"player_data_was_deleted","Player data was deleted","Player data was deleted","Spielerdaten wurden gelöscht","玩家数据已删除","播放器数据已删除","Данные игрока были удалены","Data hráče byla smazána","Dane gracza zostały usunięte","A játékos adatai törölve lettek","I dati del giocatore sono stati eliminati","Los datos del jugador fueron eliminados","Les données du joueur ont été supprimées","Os dados do jogador foram excluídos","プレイヤーデータが削除されました",
"no_player_selected","No player selected","No player selected","Kein Spieler ausgewählt","没有选择玩家","没有选择玩家","Игрок не выбран","Není vybrán žádný hráč","Nie wybrano gracza","Nincs kiválasztott játékos","Nessun giocatore selezionato","Ningún jugador seleccionado","Aucun joueur sélectionné","Nenhum jogador selecionado","プレイヤーが選択されていません",
"raid_can_not_start_wrong_time","Raid can not start,wrong time.","Raid can not start,wrong time.","Razzia kann nicht starten, falsche Zeit.","突袭无法开始，错误的时间。","突襲無法開始，錯誤的時間。","Рейд не может начаться, неправильное время.","Raid nemůže začít, špatný čas.","Raid nie może się rozpocząć, zły czas.","A rajt nem indulhat el, rossz idő.","La retata non può iniziare, tempo sbagliato.","La redada no puede comenzar, hora incorrecta.","Le raid ne peut pas commencer, mauvais moment.","A invasão não pode começar, hora errada.","レイドは開始できません、間違った時間です。",
"You_can_only_open_when_you_are_a","You can only open the trader when you are a ","You can only open the trader when you are a ","Sie können den Händler nur öffnen, wenn Sie ein ","只有当您是 ","只有当您是 ","Вы можете открыть торговца только тогда, когда вы ","Můžete otevřít obchodníka pouze tehdy, když jste ","Możesz otworzyć handlarza tylko wtedy, gdy jesteś ","Csak akkor nyithatja meg a kereskedőt, ha ","Puoi aprire il commerciante solo quando sei un ","Solo puedes abrir el comerciante cuando eres un ","Vous ne pouvez ouvrir le commerçant que lorsque vous êtes un ","Você só pode abrir o comerciante quando você é um ","あなたが ","时才能打开交易员。",
"player_was_manuel_synced","Player was manuel synced","Player was manuel synced","Spieler wurde manuell synchronisiert","玩家已手动同步","播放器已手动同步","Игрок был вручную синхронизирован","Hráč byl manuálně synchronizován","Gracz został ręcznie zsynchronizowany","A játékos manuálisan szinkronizálva lett","Il giocatore è stato sincronizzato manualmente","El jugador fue sincronizado manualmente","Le joueur a été synchronisé manuellement","O jogador foi sincronizado manualmente","プレイヤーは手動で同期されました",
"you_can_not_buy_a_car_spwan_place_is_blocked","You can not buy a car. Spawn position is currently blocked by other Item.","You can not buy a car. Spawn position is currently blocked by other Item.","Sie können kein Auto kaufen. Die Spawn-Position ist derzeit durch ein anderes Element blockiert.","您不能购买汽车。生成位置目前被其他物品阻塞。","您不能购买汽车。生成位置目前被其他物品阻塞。","Вы не можете купить машину. Позиция спавна в настоящее время заблокирована другим элементом.","Nem tudsz autót vásárolni. A születési hely jelenleg más elem által blokkolva van.","Nie możesz kupić samochodu. Pozycja generowania jest obecnie zablokowana przez inny element.","Nem vásárolhat autót. A születési hely jelenleg más elem által blokkolva van.","Non puoi comprare un'auto. La posizione di spawn è attualmente bloccata da un altro elemento.","No puedes comprar un auto. La posición de generación está actualmente bloqueada por otro elemento.","Vous ne pouvez pas acheter de voiture. La position de spawn est actuellement bloquée par un autre élément.","Você não pode comprar um carro. A posição de spawn está atualmente bloqueada por outro item.","他のアイテムによってスポーン位置がブロックされているため、車を購入できません。",
"update_car_key_list_successful","Car key list updated","Car key list updated","Autoschlüsselliste aktualisiert","汽车钥匙列表已更新","汽車鑰匙列表已更新","Список ключей автомобилей обновлен","Seznam klíčů aut aktualizován","Lista kluczy samochodów zaktualizowana","Autókulcs lista frissítve","Elenco chiavi auto aggiornato","Lista de llaves de coche actualizada","Liste de clés de voiture mise à jour","Lista de chaves de carro atualizada","車のキーリストが更新されました",
"you_can_only_buy_one_car_per_trade","You can only buy one car per trade.","You can only buy one car per trade.","Sie können pro Handel nur ein Auto kaufen.","您每次交易只能购买一辆汽车。","您每次交易只能购买一辆汽车。","Вы можете купить только одну машину за одну сделку.","Můžete koupit pouze jeden vůz za obchod.","Możesz kupić tylko jeden samochód na transakcję.","Egy kereskedésenként csak egy autót vásárolhat.","Puoi acquistare solo un'auto per scambio.","Solo puedes comprar un auto por transacción.","Vous ne pouvez acheter qu'une seule voiture par transaction.","Você só pode comprar um carro por comércio.","取引ごとに1台の車しか購入できません。",
"open_car_menu","Open car menu","Open car menu","Auto-Menü öffnen","打开汽车菜单","打開汽車菜單","Открыть меню автомобиля","Otevřít auto menu","Otwórz menu samochodowe","Autó menü megnyitása","Apri il menu dell'auto","Abrir menú de coche","Ouvrir le menu de la voiture","Abrir menu de carro","車のメニューを開く",
"CarKey","Car keys","Car keys","Autoschlüssel","汽车钥匙","汽車鑰匙","Ключи от автомобиля","Klíče od auta","Klucze samochodowe","Autókulcsok","Chiavi dell'auto","Llaves de coche","Clés de voiture","Chaves de carro","車のキー",
"Deposit_to_bank","Send to bank","Send to bank","Einzahlen auf Bank","存款到银行","存款到銀行","Депозит в банк","Vklad na banku","Depozyt do banku","Betét a bankba","Deposito in banca","Depósito en el banco","Dépôt à la banque","Depósito no banco","銀行への預金",
"Deposit_to_player","Send to player","Send to player","Einzahlen auf Spieler","存款到玩家","存款到玩家","Депозит игроку","Vklad hráči","Depozyt do gracza","Betét a játékosnak","Deposito al giocatore","Depósito al jugador","Dépôt au joueur","Depósito ao jogador","プレイヤーに送金",
"owner_is","Owner is","Owner is","Besitzer ist","所有者是","所有者是","Владелец","Vlastník je","Właściciel to","Tulajdonos","Il proprietario è","El propietario es","Le propriétaire est","O proprietário é","所有者は",
"show_owner","Show owner","Show owner","Besitzer anzeigen","显示所有者","顯示所有者","Показать владельца","Zobrazit majitele","Pokaż właściciela","Mutassa a tulajdonost","Mostra proprietario","Mostrar propietario","Afficher le propriétaire","Mostrar proprietário","所有者を表示",
"Garage","Garage","Garage","Garage","车库","車庫","Гараж","Garáž","Garaż","Garázs","Garage","Garaje","Garage","Garagem","ガレージ",
"Car_to_Stored","park in","park in","Einparken","停到车库","停放在","Припарковаться в","zaparkovat","zaparkuj w","parkoljon be","parcheggiare","aparcar en","se garer dans","estacionar em","に駐車する",
"Cars_in_Sored","Vehicle","Vehicle","Fahrzeuge","车辆","車輛","Транспортные средства","Vozidla","Pojazdy","Járművek","Veicoli","Vehículos","Véhicules","Veículos","車両",
"Store_in","park in","park in","Einparken","停到车库","停放在","Припарковаться в","zaparkovat","zaparkuj w","parkoljon be","parcheggiare","aparcar en","se garer dans","estacionar em","に駐車する",
"Store_out","park out","park out","Ausparken","停出车库","停出","Выпарковаться","vyjet","wyjedź","kijut","uscire","salir","sortir","sair","駐車する",
"car_was_parked","Car was parked","Car was parked","Auto wurde geparkt","汽车已停放","汽車已停放","Автомобиль был припаркован","Auto bylo zaparkováno","Samochód został zaparkowany","Az autó parkolva lett","L'auto è stata parcheggiata","El coche fue estacionado","La voiture a été garée","O carro foi estacionado","車が駐車されました",
"car_was_parked_out","Your car waits for you outside.","Your car waits for you outside.","Ihr Auto wurde ausgeparkt","你的车在外面等你。","你的車在外面等你。","Ваша машина ждет вас снаружи","Vaše auto na vás čeká venku.","Twój samochód czeka na ciebie na zewnątrz.","Az autója kint vár rád.","La tua macchina ti aspetta fuori.","Su auto lo espera afuera.","Votre voiture vous attend dehors.","Seu carro espera por você lá fora.","あなたの車は外であなたを待っています。",
"car_was_parked_out_some_items_can_not_placed_in_car","Your car waits for you outside. I was not able to place all items in your car. Please take look under your car.","Your car waits for you outside. I was not able to place all items in your car. Please take look under your car.","Ihr Auto wurde ausgeparkt. Ich konnte nicht alle Gegenstände in Ihr Auto legen. Bitte schauen Sie unter Ihr Auto.","您的车在外面等你。我无法将所有物品放入您的车中。请看看您的车下面。","您的車在外面等你。我無法將所有物品放入您的車中。請看看您的車下面。","Ваша машина ждет вас снаружи. Я не смог поместить все предметы в вашу машину. Пожалуйста, посмотрите под вашу машину.","Vaše auto na vás čeká venku. Nebylo možné umístit všechny položky do vašeho auta. Podívejte se pod své auto.","Twój samochód czeka na ciebie na zewnątrz. Nie udało mi się umieścić wszystkich przedmiotów w twoim samochodzie. Proszę spojrzeć pod swoje auto.","Az autója kint vár rád. Nem tudtam minden tárgyat az autójába helyezni. Kérjük, nézze meg az autója alatt.","La tua macchina ti aspetta fuori. Non sono stato in grado di mettere tutti gli oggetti nella tua auto. Dai un'occhiata sotto la tua auto.","Su auto lo espera afuera. No pude colocar todos los elementos en su auto. Por favor, eche un vistazo debajo de su auto.","Votre voiture vous attend dehors. Je n'ai pas pu placer tous les articles dans votre voiture. Veuillez regarder sous votre voiture.","Seu carro espera por você lá fora. Não foi possível colocar todos os itens em seu carro. Por favor, dê uma olhada embaixo do seu carro.","あなたの車は外であなたを待っています。私はすべてのア"
"open_car_garage_menu","Open garage","Open garage","Garage öffnen","打开车库","打開車庫","Открыть гараж","Otevřít garáž","Otwórz garaż","Garázs megnyitása","Apri il garage","Abrir garaje","Ouvrir le garage","Abrir garagem","ガレージを開く",
"car_spwan_place_is_blocked","Vehicle spawn place is blocked","Vehicle spawn place is blocked","Fahrzeug-Spawnpunkt ist blockiert","车辆生成位置被阻塞","车辆生成位置被阻塞","Место спавна транспортного средства заблокировано","Místo spawnu vozidla je blokováno","Miejsce generowania pojazdu jest zablokowane","A jármű generálási helye blokkolva van","Il luogo di spawn del veicolo è bloccato","El lugar de generación de vehículos está bloqueado","L'emplacement de spawn du véhicule est bloqué","O local de spawn do veículo está bloqueado","車両のスポーン位置がブロックされています",
"car_is_not_empty","Vehicle is not empty","Vehicle is not empty","Fahrzeug ist nicht leer","车辆不为空","车辆不为空","Транспортное средство не пустое","Vozidlo není prázdné","Pojazd nie jest pusty","A jármű nem üres","Il veicolo non è vuoto","El vehículo no está vacío","Le véhicule n'est pas vide","O veículo não está vazio","車両は空ではありません",
"no_car_selected","No vehicle selected","No vehicle selected","Kein Fahrzeug ausgewählt","没有选择车辆","没有选择车辆","Транспортное средство не выбрано","Není vybráno žádné vozidlo","Nie wybrano pojazdu","Nincs kiválasztott jármű","Nessun veicolo selezionato","Ningún vehículo seleccionado","Aucun véhicule sélectionné","Nenhum veículo selecionado","車両が選択されていません",
"car_was_successful_raided","Vehicle was successfully raided","Vehicle was successfully raided","Fahrzeug wurde erfolgreich überfallen","车辆被成功袭击","车辆被成功襲擊","Транспортное средство было успешно ограблено","Vozidlo bylo úspěšně přepadeno","Pojazd został pomyślnie zaatakowany","A jármű sikeresen megtámadva","Il veicolo è stato attaccato con successo","El vehículo fue atacado con éxito","Le véhicule a été attaqué avec succès","O veículo foi atacado com sucesso","車両は無事襲撃されました",
"car_raid_has_failed","Vehicle raid failed","Vehicle raid failed","Fahrzeugüberfall fehlgeschlagen","车辆袭击失败","车辆襲擊失敗","Не удалось ограбить транспортное средство","Přepad vozidla selhal","Atak na pojazd nie powiódł się","A jármű megtámadása sikertelen volt","L'attacco al veicolo è fallito","El ataque al vehículo ha fallado","L'attaque du véhicule a échoué","O ataque ao veículo falhou","車両襲撃に失敗しました",
"Active_Job","Active Job","Active Job","Aktiver Job","活跃工作","活躍工作","Активная работа","Aktivní práce","Aktywna praca","Aktív munka","Lavoro attivo","Trabajo activo","Emploi actif","Trabalho ativo","アクティブジョブ",
"Can_be_Job_Cop","Can be Job Cop","Can be Job Cop","Kann Cop werden","是否为警察","可以當警察","Может быть полицейским","Může to být policajt","Może być policjantem","Lehet munkás rendőr","Può essere un poliziotto","Puede ser Policía","Peut être Job Cop","Pode ser Job Cop","仕事の警察になることができます",
"Can_be_Job_Medic","Can be Job Medic","Can be Job Medic","Kann Medic werden","是否为医生","可以當醫生","Может быть медиком","Může to být zdravotník","Może być medykiem","Lehet munkás orvos","Può essere un medico","Puede ser Médico","Peut être Job Medic","Pode ser Job Medic","仕事の医者になることができます",
"emergencies","Emergencies","Emergencies","Notfälle","紧急情况","緊急情況","Чрезвычайные ситуации","Nouzové situace","Nagłe wypadki","Vészhelyzetek","Emergenze","Emergencias","Urgences","Emergências","緊急事態",
"medics_was_called","Medics was called","Medics was called","Medics wurde gerufen","医生被叫了","醫生被叫了","Медики были вызваны","Lékaři byli voláni","Lekarze zostali wezwani","Az orvosokat hívták","I medici sono stati chiamati","Los médicos fueron llamados","Les médecins ont été appelés","Os médicos foram chamados","医者が呼ばれました",
"there_is_a_new_emergency","There is a new emergency. Please open the Almanac","There is a new emergency. Please open the Almanac","Es gibt einen neuen Notfall. Bitte öffnen Sie den Almanach","有一个新的紧急情况。请打开《阿尔曼纳克》","有一個新的緊急情況。請打開《阿爾曼納克》","Есть новая чрезвычайная ситуация. Пожалуйста, откройте Альманах","Je tu nová nouzová situace. Otevřete prosím Almanach","Jest nowy wypadek. Proszę otworzyć Almanach","Van egy új vészhelyzet. Kérjük, nyissa meg az Almanachot","C'è una nuova emergenza. Si prega di aprire l'Almanacco","Hay una nueva emergencia. Por favor, abra el Almanaque","Il y a une nouvelle urgence. Veuillez ouvrir l'Almanach","Há uma nova emergência. Por favor, abra o Almanaque","新しい緊急事態があります。アルマナックを開いてください",
"Money_to_Player","Money to Player","Money to Player","Geld an Spieler","钱给玩家","钱給玩家","Деньги игроку","Peníze hráči","Pieniądze dla gracza","Pénz a játékosnak","Denaro al giocatore","Dinero al jugador","Argent au joueur","Dinheiro para o jogador","プレイヤーへのお金",
"arrestTime","Arrest time","Arrest time","Arrestzeit","逮捕时间","逮捕時間","Время ареста","Čas zadržení","Czas zatrzymania","Letartóztatási idő","Tempo di arresto","Tiempo de arresto","Heure d'arrestation","Tempo de prisão","逮捕時間",
"arrestReason","Arrest reason","Arrest reason","Arrestgrund","逮捕原因","逮捕原因","Причина ареста","Důvod zadržení","Powód zatrzymania","Letartóztatási ok","Motivo dell'arresto","Motivo del arresto","Raison de l'arrestation","Motivo da prisão","逮捕理由",
"out_parking_with_insurance","Park out with insurance","Park out with insurance","Mit Versicherung ausparken","带保险出停车","帶保險出停車","Выезд с парковкой с страховкой","Parkování s pojištěním","Wyjazd z parkingu z ubezpieczeniem","Kijutás biztosítással","Uscita con assicurazione","Salida con seguro","Sortie avec assurance","Saída com seguro","保険付きで駐車場から出る",
"car_can_not_store_is_ruined","Vehicle damage is to high. Can not park in.","Vehicle damage is to high. Can not park in.","Fahrzeugschaden ist zu hoch. Kann nicht einparken.","车辆损坏太严重。无法停放。","车辆损坏太嚴重。無法停放。","Повреждение транспортного средства слишком велико. Не могу припарковаться.","Poškození vozidla je příliš vysoké. Nemůže se zaparkovat.","Uszkodzenie pojazdu jest zbyt duże. Nie można zaparkować.","A jármű kára túl magas. Nem lehet beparkolni.","Il danno al veicolo è troppo alto. Non può parcheggiare.","El daño al vehículo es demasiado alto. No puede estacionar.","Les dommages au véhicule sont trop importants. Impossible de se garer.","O dano ao veículo é muito alto. Não pode estacionar.","車両の損傷が大きすぎます。駐車できません。",
check_insurance,Check insurance,Check insurance,Prüfe Versicherung,检查保险,檢查保險,Проверить страховку,Zkontrolujte pojištění,Sprawdź ubezpieczenie,Ellenőrizze a biztosítást,Controlla l'assicurazione,Consultar seguro,Vérifier l'assurance,Verifique o seguro,保険を確認してください,
"yes","Yes","Yes","Ja","是","是","Да","Ano","Tak","Igen","Sì","Sí","Oui","Sim","はい",
"no","No","No","Nein","没有","沒有","Нет","Ne","Nie","Nem","No","No","Non","Não","いいえ",
"has_insurance","Has insucance","Has insucance","Hat Versicherung","有保险","有保險","Есть страховка","Má pojištění","Ma ubezpieczenie","Van biztosítása","Ha assicurazione","Tiene seguro","A une assurance","Tem seguro","保険があります",
"Transfer","Transfer","Transfer","Überweisung","转账","轉賬","Перевод","Převod","Przelew","Átutalás","Trasferimento","Transferencia","Transfert","Transferência","転送",
"raid_all_ready_started","Raid all ready started","Raid all ready started","Raid bereits gestartet","突袭已经开始","突襲已經開始","Рейд уже начался","Raid již začal","Raid już się rozpoczął","A rajt már elkezdődött","La retata è già iniziata","La redada ya ha comenzado","Le raid a déjà commencé","A invasão já começou","突撃はすでに始まっています",
"payback_robt_money","Payback robt money","Payback robt money","Rückzahlung geraubtes Geld","偿还抢劫的钱","償還搶劫的錢","Возврат грабежа денег","Vrácení peněz z loupeže","Zapłać skradzione pieniądze","Rablott pénz visszafizetése","Rimborsare i soldi rubati","Devolver dinero robado","Rembourser l'argent volé","Reembolsar dinheiro roubado","強奪されたお金の返済",
"error_not_enough_money_payback","Error not enough money payback","Error not enough money payback","Fehler nicht genug Geld zurückzahlen","错误不够钱还","錯誤不夠錢還","Ошибка недостаточно денег для возврата","Chyba nedostatek peněz na vrácení","Błąd brak wystarczających pieniędzy do zwrotu","Hiba nincs elég pénz a visszafizetéshez","Errore non abbastanza soldi per il rimborso","Error no hay suficiente dinero para devolver","Erreur pas assez d'argent pour rembourser","Erro não há dinheiro suficiente para reembolsar","返済するお金が足りません",
"payback_was_successful","Payback was successful","Payback was successful","Rückzahlung war erfolgreich","偿还成功","償還成功","Возврат прошел успешно","Vrácení bylo úspěšné","Zwrot zakończył się sukcesem","A visszatérítés sikeres volt","Il rimborso è stato un successo","El reembolso fue exitoso","Le remboursement a réussi","O reembolso foi bem-sucedido","返金は成功しました",
"Tax","Tax","Tax","Steuer","税","稅","Налог","Daň","Podatek","Adó","Tassa","Impuesto","Impôt","Imposto","税",
"you_will_loose_all_money_on_you_char","Attention: You will lose all your money and items at char when you respawn.","Attention: You will lose all your money and items at char when you respawn.","Achtung: Sie verlieren all Ihr Geld und Ihre Gegenstände, wenn Sie neu starten.","注意：当您重生时，您将失去角色上的所有金钱和物品。","注意：当您重生时，您将失去角色上的所有金钱和物品。","Внимание: Вы потеряете все свои деньги и предметы на персонаже при возрождении.","Upozornění: Při respawnu ztratíte všechny peníze a položky na postavě.","Uwaga: Stracisz wszystkie pieniądze i przedmioty na postaci po respawnie.","Figyelmeztetés: Az újraindításkor elveszíti az összes pénzét és tárgyát a karakterén.","Attenzione: Perderai tutti i tuoi soldi e oggetti sul personaggio quando ti respawn.","Atención: Perderás todo tu dinero y objetos en el personaje cuando reaparezcas.","Attention: Vous perdrez tout votre argent et vos objets sur le personnage lorsque vous réapparaîtrez.","Atenção: Você perderá todo o seu dinheiro e itens no personagem quando reaparecer.","再生時にキャラクターのすべてのお金とアイテムが失われます。",
"payback_was_successful","You have paid back money:","You have paid back money:","Sie haben Geld zurückgezahlt:","您已经偿还了钱：","您已經償還了錢：","Вы вернули деньги:","Zaplatili jste zpět peníze:","Zapłaciłeś z powrotem pieniądze:","Visszafizette a pénzt:","Hai restituito i soldi:","Has devuelto dinero:","Vous avez remboursé de l'argent :","Você pagou de volta o dinheiro:","あなたはお金を返済しました：",
"bank_rob_will_finished_in","Bank raid is finished in (Minutes)","Bank raid is finished in (Minutes)","Banküberfall endet in (Minuten)","银行抢劫将在（分钟）内结束","銀行搶劫將在（分鐘）內結束","Банковский рейд закончится через (минут)","Bankovní loupež skončí za (minuty)","Rajd bankowy zakończy się za (minuty)","A bankrablás (percekben) véget ér","La rapina in banca finirà in (minuti)","El robo al banco terminará en (minutos)","Le braquage de la banque se terminera dans (minutes)","O roubo ao banco terminará em (minutos)","銀行強盗は（分）で終了します",
"nothing_is_selected","Nothing is selected","Nothing is selected","Nichts ist ausgewählt","没有选择","沒有選擇","Ничего не выбрано","Nic není vybráno","Nic nie jest wybrane","Nincs kiválasztva","Nessuna selezione","Nada está seleccionado","Rien n'est sélectionné","Nada está selecionado","何も選択されていません",
"message_is_empty","Message field is empty","Message field is empty","Nachrichtenfeld ist leer","消息字段为空","消息字段为空","Поле сообщения пусто","Pole zprávy je prázdné","Pole wiadomości jest puste","Az üzenet mező üres","Il campo del messaggio è vuoto","El campo del mensaje está vacío","Le champ de message est vide","O campo de mensagem está vazio","メッセージフィールドが空です",
"Show_Map","Show Map","Show Map","Karte anzeigen","显示地图","顯示地圖","Показать карту","Zobrazit mapu","Pokaż mapę","Térkép megjelenítése","Mostra mappa","Mostrar mapa","Afficher la carte","Mostrar Mapa","地図を表示",
"Contacts","Contacts","Contacts","Kontakte","联系人","聯絡人","Контакты","Kontakty","Kontakty","Kapcsolatok","Contatti","Contactos","Contacts","Contatos","連絡先",
"Add_Contacts","Add Contacts","Add Contacts","Kontakte hinzufügen","添加联系人","添加聯絡人","Добавить контакты","Přidat kontakty","Dodaj kontakty","Kapcsolatok hozzáadása","Aggiungi contatti","Añadir contactos","Ajouter des contacts","Adicionar Contatos","連絡先を追加",
"Player","Player","Player","Spieler","玩家","玩家","Игрок","Hráč","Gracz","Játékos","Giocatore","Jugador","Joueur","Jogador","プレイヤー",
"Date_time","Date time","Date time","Datum Zeit","日期时间","日期時間","Дата время","Datum čas","Data czas","Dátum idő","Data ora","Fecha hora","Date heure","Data hora","日時",
"Message_Preview","Message Preview","Message Preview","Nachrichtenvorschau","消息预览","消息預覽","Предварительный просмотр сообщения","Náhled zprávy","Podgląd wiadomości","Üzenet előnézet","Anteprima messaggio","Vista previa del mensaje","Aperçu du message","Visualização da mensagem","メッセージプレビュー",
"Delete_Contacts","Delete Contacts","Delete Contacts","Kontakte löschen","删除联系人","刪除聯絡人","Удалить контакты","Smazat kontakty","Usuń kontakty","Kapcsolatok törlése","Elimina contatti","Eliminar contactos","Supprimer les contacts","Excluir Contatos","連絡先を削除",
"Send_Global","Send Global","Send Global","Global senden","全球发送","全球發送","Глобальная отправка","Globální odeslání","Globalne wysyłanie","Globális küldés","Invia globale","Enviar global","Envoyer Global","Enviar Global","グローバル送信",
"SOS_Cop","SoS to Cop","SoS to Cop","SoS an Cop","SoS给警察","SoS給警察","SoS копу","SoS pro policistu","SoS do policjanta","SoS a rendőrnek","SoS al poliziotto","SoS al policía","SoS à Cop","SoS para Cop","SoS警察",
"Send_Medic","Send to Medics","Send to Medics","An Medics senden","发送给医生","發送給醫生","Отправить медикам","Odeslat lékařům","Wyślij do lekarzy","Küldés az orvosoknak","Invia ai medici","Enviar a médicos","Envoyer aux médecins","Enviar para Médicos","医者に送信",
"Delete_Message","Delete Message","Delete Message","Nachricht löschen","删除消息","刪除消息","Удалить сообщение","Smazat zprávu","Usuń wiadomość","Üzenet törlése","Elimina messaggio","Eliminar mensaje","Supprimer le message","Excluir mensagem","メッセージを削除",
"replay_to_player","Replay to player","Replay to player","Antwort an Spieler","回复给玩家","回复給玩家","Ответить игроку","Odpovědět hráči","Odpowiedz graczowi","Válasz a játékosnak","Rispondi al giocatore","Responder al jugador","Répondre au joueur","Responder ao jogador","プレイヤーに返信",
"send_to_online_player","Send to online player","Send to online player","An Online-Spieler senden","发送给在线玩家","發送給在線玩家","Отправить онлайн-игроку","Odeslat online hráči","Wyślij do gracza online","Küldés online játékosnak","Invia al giocatore online","Enviar al jugador en línea","Envoyer au joueur en ligne","Enviar para o jogador online","オンラインプレイヤーに送信",
